Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1856,0.234,0.167,0.239,0.158,0.21,0.233,0.246,0.223,0.29,0.14,0.15,0.245
1857,0.23,-0.044,-0.059,0.023,-0.017,0.115,0.147,0.013,0.035,-0.119,-0.153,-0.267
1858,-0.205,-0.298,-0.055,0.227,0.105,-0.024,-0.145,-0.056,0.086,0.163,0.29,0.137
1859,-0.118,-0.105,0.075,0.164,0.102,-0.087,-0.166,0.078,0.095,0.143,0.074,0.097
1860,0.13,-0.098,0.075,-0.055,0.184,0.318,0.244,0.054,0.009,0.124,0.007,0.156
1861,0.015,-0.095,0.008,0.262,0.209,0.306,0.428,0.316,0.273,0.228,0.23,0.129
1862,-0.014,-0.15,-0.059,-0.112,-0.168,-0.031,-0.28,-0.254,-0.243,-0.252,-0.339,-0.345
1863,-0.133,-0.031,0.041,0.063,0.036,-0.029,-0.281,-0.287,-0.145,-0.221,-0.165,-0.103
1864,-0.193,-0.342,-0.168,-0.022,0.085,0.128,0.274,0.36,0.208,0.138,0.2,0.201
1865,0.2,0.261,0.174,0.07,0.038,0.209,0.13,0.05,0.294,0.26,0.225,0.225
1866,0.058,0.185,0.22,0.139,0.182,0.358,0.288,0.266,0.155,0.147,0.274,0.283
1867,0.318,0.29,0.393,0.302,0.164,0.095,0.114,0.077,0.009,-0.021,0.119,-0.046
1868,0.068,0.138,0.209,0.268,0.194,0.333,0.413,0.21,0.153,-0.106,-0.049,0.129
1869,-0.107,0.099,0.084,0.251,0.289,0.222,0.287,0.142,0.101,0.001,-0.038,-0.08
1870,-0.152,0.015,-0.036,-0.162,-0.023,-0.005,-0.034,0.106,0.157,0.163,0.18,0.115
1871,-0.13,-0.112,0.136,0.185,0.149,0.138,0.178,0.063,-0.082,-0.142,0.002,0.092
1872,-0.064,-0.048,-0.079,-0.068,0.182,0.223,0.29,0.39,0.421,0.053,-0.028,-0.046
1873,0.059,0.01,0.047,0.05,-0.044,-0.034,0.09,0.05,0.151,0.087,0.066,0.145
1874,0.056,-0.108,-0.114,-0.085,0.02,0.168,0.105,-0.008,0.186,-0.035,-0.053,-0.285
1875,-0.161,0.071,0.041,0.023,0.169,0.175,0.008,0.096,0.144,0.076,-0.054,-0.072
1876,-0.2,-0.071,-0.086,-0.066,-0.067,0,0.12,0.18,0.153,-0.049,-0.076,-0.012
1877,0.012,0.163,0.247,0.152,0.261,0.33,0.306,0.37,0.27,0.239,0.308,0.326
1878,0.248,0.341,0.351,0.65,0.531,0.634,0.427,0.594,0.555,0.326,0.38,0.477
1879,0.33,0.386,0.026,0.044,0.252,0.183,0.091,0.022,-0.016,0.068,0.075,0.125
1880,0.083,0.011,0.096,-0.031,-0.133,-0.005,0.125,0.109,0.261,0.237,0.154,-0.078
1881,0.176,0.13,0.197,0.228,0.121,0.127,0.015,0.052,-0.015,-0.062,-0.298,-0.087
1882,-0.123,-0.09,-0.025,-0.121,-0.123,0.007,0.069,0.077,0.05,-0.007,0.022,0.025
1883,-0.039,-0.155,-0.144,0.037,0.043,-0.021,-0.035,0.028,-0.082,-0.104,0.003,0.144
1884,0.043,-0.132,-0.099,-0.052,-0.037,0.148,-0.019,0.003,-0.139,-0.133,-0.328,-0.101
1885,-0.054,0.058,-0.021,-0.237,-0.152,-0.118,-0.011,0.128,0.049,0.047,0.026,0.048
1886,0.146,0.142,0.199,0.222,0.249,0.219,0.261,0.08,0.017,-0.003,0.002,-0.004
1887,-0.083,-0.07,-0.007,-0.049,0.061,0.236,0.355,0.222,0.174,0.258,0.203,0.204
1888,0.256,0.193,0.278,0.146,0.153,0.275,0.211,0.17,0.173,0.278,0.152,0.103
1889,0.26,0.267,0.342,0.323,0.324,0.236,0.086,0.105,0.114,0.113,0.187,0.061
1890,0.041,0.025,-0.029,-0.145,-0.137,-0.092,-0.245,-0.29,-0.249,-0.073,-0.261,-0.238
1891,-0.265,-0.075,0.085,0.121,0.189,0.175,0.253,0.111,0.019,0.036,-0.227,0.03
1892,0.073,0.134,0.107,0.015,-0.118,-0.135,-0.241,-0.095,-0.203,-0.171,-0.266,-0.166
1893,-0.092,-0.044,-0.032,-0.144,-0.124,0.136,0.189,0.173,0.062,-0.048,0.034,-0.145
1894,-0.137,-0.155,-0.175,-0.272,-0.347,-0.312,-0.215,-0.226,-0.215,-0.324,-0.302,-0.216
1895,-0.104,-0.072,-0.252,-0.28,-0.195,-0.095,-0.061,-0.083,0.085,0.083,-0.097,-0.038
1896,-0.055,0.044,-0.029,0.059,0.268,0.2,0.112,0.091,0.324,0.169,0.055,0.065
1897,0.089,0.141,0.313,0.256,0.171,0.107,0.105,0.027,0.055,0.084,-0.005,-0.004
1898,-0.008,0.066,0.115,0.069,0.098,0.217,0.225,0.147,0.113,-0.02,-0.122,0.008
1899,-0.058,-0.044,-0.001,0.093,0.21,0.196,0.119,0.278,0.137,0.1,0.208,0.307
1900,0.216,0.212,0.071,0.173,0.006,0.009,0.102,0.008,0.058,0.125,0.054,0.145
1901,0.058,0.196,0.168,0.161,0.091,0.228,0.193,0.191,0.012,-0.099,-0.07,-0.056
1902,-0.108,-0.024,-0.015,-0.141,-0.082,-0.243,-0.283,-0.163,0.008,0.025,-0.108,-0.077
1903,-0.033,0.061,-0.05,-0.061,-0.137,-0.168,-0.156,-0.437,-0.449,-0.359,-0.231,-0.285
1904,-0.345,-0.367,-0.372,-0.416,-0.391,-0.423,-0.331,-0.342,-0.472,-0.364,-0.193,-0.148
1905,-0.219,-0.177,-0.354,-0.167,-0.057,-0.166,-0.049,-0.137,-0.351,-0.246,-0.263,-0.24
1906,-0.067,-0.027,-0.048,-0.04,-0.155,0.012,-0.002,-0.06,-0.115,-0.137,-0.013,-0.221
1907,-0.182,-0.345,-0.25,-0.157,-0.145,-0.25,-0.277,-0.312,-0.174,-0.216,-0.224,-0.187
1908,-0.228,-0.229,-0.237,-0.206,-0.16,-0.061,0.027,0.011,-0.086,-0.118,-0.152,-0.119
1909,-0.102,-0.14,-0.099,-0.146,-0.004,-0.126,-0.165,-0.081,-0.112,-0.149,-0.289,-0.232
1910,-0.305,-0.249,-0.258,-0.308,-0.339,-0.359,-0.287,-0.257,-0.104,-0.188,-0.076,-0.24
1911,-0.251,-0.251,-0.306,-0.318,-0.342,-0.237,-0.166,-0.063,-0.117,-0.112,-0.229,-0.171
1912,-0.235,-0.258,-0.217,-0.167,-0.114,-0.149,-0.256,-0.393,-0.243,-0.249,-0.221,-0.234
1913,-0.306,-0.211,-0.224,-0.44,-0.448,-0.565,-0.438,-0.434,-0.427,-0.381,-0.455,-0.326
1914,-0.223,-0.318,-0.406,-0.384,-0.263,-0.377,-0.431,-0.37,-0.188,-0.113,-0.184,-0.228
1915,-0.129,-0.117,-0.004,0.052,0.262,0.294,0.317,0.212,0.197,0.029,-0.006,0.011
1916,-0.039,-0.099,-0.093,-0.119,0.019,0.028,-0.075,-0.017,-0.004,-0.075,-0.24,-0.209
1917,-0.294,-0.35,-0.402,-0.306,-0.254,-0.152,-0.209,-0.192,-0.282,-0.341,-0.32,-0.259
1918,-0.101,-0.175,-0.117,-0.179,-0.239,-0.419,-0.367,-0.391,-0.365,-0.258,-0.299,-0.224
1919,-0.226,-0.059,-0.192,-0.056,-0.165,-0.222,-0.283,-0.191,-0.192,-0.143,-0.227,-0.291
1920,-0.461,-0.403,-0.451,-0.335,-0.252,-0.281,-0.276,-0.303,-0.276,-0.267,-0.427,-0.303
1921,-0.29,-0.274,-0.318,-0.264,-0.25,-0.248,-0.108,-0.246,-0.225,-0.055,-0.262,-0.12
1922,-0.205,-0.242,-0.34,-0.41,-0.318,-0.331,-0.376,-0.309,-0.368,-0.286,-0.351,-0.324
1923,-0.363,-0.46,-0.404,-0.429,-0.281,-0.314,-0.321,-0.426,-0.369,-0.264,-0.216,-0.061
1924,-0.131,-0.199,-0.104,-0.057,0.045,-0.097,-0.126,-0.138,-0.204,-0.236,-0.316,-0.288
1925,-0.326,-0.311,-0.239,-0.18,-0.078,-0.19,-0.145,-0.132,-0.12,-0.087,-0.173,0.046
1926,0.033,0.106,0.046,0.108,0.124,0.067,0.14,0.051,0.04,0.176,0.025,0.088
1927,0.079,0.075,0.038,0.067,0.19,0.153,0.154,0.156,0.103,0.171,0.135,-0.026
1928,-0.047,-0.096,-0.095,-0.1,0.015,0.065,0.084,0.1,0.086,0.04,-0.053,-0.092
1929,-0.089,-0.102,-0.091,-0.017,-0.112,-0.194,-0.181,-0.156,-0.066,-0.055,-0.115,-0.187
1930,-0.125,-0.176,-0.096,-0.211,-0.112,-0.082,0.059,0.068,0.286,0.2,0.152,0.141
1931,0.113,0.065,0.146,0.149,0.224,0.267,0.193,0.15,0.263,0.318,0.057,0.17
1932,0.175,0.229,0.246,0.21,0.153,0.243,0.269,0.386,0.335,0.237,0.136,0.094
1933,0.087,0.155,0.089,0.21,0.29,0.242,0.278,0.28,0.242,0.33,0.078,0.001
1934,-0.113,-0.191,-0.212,-0.095,-0.113,0.032,0.17,0.078,0.141,0.169,0.016,-0.006
1935,0.041,-0.136,-0.151,0.053,0.14,0.108,0.061,0.004,-0.038,-0.02,0.018,0.099
1936,0.135,0.144,0.192,0.194,0.166,0.191,0.193,0.212,0.172,0.102,0.017,0.046
1937,0.053,0.083,0.096,0.067,0.129,0.448,0.609,0.589,0.505,0.295,0.254,0.351
1938,0.209,0.149,0.197,0.235,0.201,0.166,0.202,0.296,0.306,0.352,0.316,0.216
1939,0.133,0.076,-0.034,0.092,0.103,0.175,0.323,0.32,0.297,0.008,-0.155,-0.082
1940,0.059,-0.196,-0.147,-0.035,-0.001,0.012,0.094,0.103,0.022,-0.052,-0.134,-0.14
1941,-0.064,0.093,0.129,0.062,0.035,-0.021,0.086,0.277,0.302,0.413,0.39,0.324
1942,0.133,0.196,0.19,0.202,0.207,0.258,0.098,0.143,0.222,0.201,0.194,0.09
1943,0.128,0.095,-0.104,-0.138,-0.125,-0.078,0.015,0.014,0.075,0.078,0.142,0.226
1944,0.299,0.316,0.421,0.313,0.291,0.346,0.36,0.442,0.416,0.365,0.271,0.273
1945,0.259,0.348,0.364,0.41,0.309,0.173,0.083,0.107,0.084,0.102,0.184,0.137
1946,0.276,0.19,0.131,0.061,0.089,-0.101,-0.205,-0.165,-0.017,-0.016,-0.065,-0.035
1947,-0.174,-0.127,-0.091,-0.097,-0.155,-0.152,-0.157,-0.1,-0.05,-0.09,0.047,0.034
1948,-0.015,-0.028,0.028,-0.07,-0.004,0.055,-0.039,-0.023,-0.053,0.008,0.134,0.062
1949,0.153,0.16,0.039,0.099,-0.024,0.001,0.072,0.102,0.07,0.104,0.108,0.118
1950,0.111,-0.033,-0.106,-0.13,-0.058,-0.042,-0.055,0.02,0.01,-0.09,0.08,0.088
