Region,Site,siteID,Latitude,Longitude
Florida,Eastern Sambo,yores,24.495846,-81.6485388
Florida,Alligator Reef,yorar,24.89525025,-80.57261263
Florida,Cheeca Rocks,yircr,24.90383722,-80.60967778
Florida,Carysfort Reef,yorcf,25.2012167,-80.2268668
Florida,Basin Hill Shoals,yirbh,25.2179648,-80.2760984
Florida,W Washerwoman,yirww,24.535409,-81.6223756
Florida,Fowey Rocks,yorfr,25.588045,-80.09698
Florida,Bache Shoals,yirbs,25.484932,-80.149175
Belize,Belize City,girbz,17.48687667,-88.12063
Belize,Dangriga,girdg,16.794713,-88.275764
Belize,Placencia,girpc,16.46455429,-88.31329
Belize,Port Honduras,girph,16.19742429,-88.62829143
Belize,Gallows Point,gorgp,17.38344571,-88.01755286
Belize,Gladden Spit,gorgs,16.48015286,-87.99061429
Belize,Sapodilla Cayes,gorsc,16.15124,-88.23973
Belize,Tobacco Caye,gortc,17.056007,-87.980526
Belize,Sapodilla Cayes (2009),-,16.11528114,-88.26586657
Belize,Gallows Point (2012),-,17.495611,-88.045278
Belize,Gladden Spit (2012),-,16.508167,-87.984694
Belize,Tobacco Caye (2012),-,17.194667,-88.052333
Belize,Port Honduras (2012),-,16.19198867,-88.56803333
Belize,Placencia (2012),-,16.510194,-88.272944
Panama,Cristobal Island,wirci,9.265448571,-82.24351143
Panama,Punta Donato,wirpd,9.36924,-82.36403667
Panama,Punta Laurel,wirpl,9.132796,-82.11955
Panama,STRI Point,wirsp,9.352434,-82.26453
Panama,Bastimentos S,worbs,9.287438,-82.092315
Panama,Cayo de Agua,worca,9.193858,-82.053951
Panama,Drago Mar,wordm,9.424538889,-82.32479
Panama,Bastimentos N,worbn,9.348495,-82.176505
